iter	Passed	Remaining
0	0	991
1	1	965
2	2	898
3	3	874
4	4	860
5	5	857
6	6	859
7	6	847
8	7	834
9	8	844
10	9	845
11	10	848
12	11	851
13	12	849
14	12	837
15	13	823
16	14	822
17	14	815
18	15	810
19	16	803
20	17	801
21	17	794
22	18	796
23	19	797
24	20	804
25	21	800
26	22	797
27	23	799
28	23	796
29	24	804
30	25	805
31	26	806
32	27	803
33	28	800
34	28	797
35	29	796
36	30	794
37	31	792
38	32	795
39	33	801
40	34	804
41	35	805
42	36	804
43	36	802
44	37	803
45	38	804
46	39	807
47	40	805
48	41	803
49	42	804
50	43	804
51	44	803
52	44	801
53	45	802
54	47	809
55	48	812
56	49	814
57	50	814
58	50	812
59	51	813
60	52	813
61	53	813
62	54	811
63	55	811
64	56	810
65	57	812
66	58	815
67	59	809
68	60	811
69	61	812
70	61	810
71	62	808
72	63	806
73	64	804
74	65	802
75	66	802
76	66	802
77	67	801
78	68	801
79	69	801
80	70	800
81	71	799
82	72	798
83	73	797
84	73	793
85	74	792
86	75	790
87	76	789
88	77	789
89	77	788
90	78	788
91	79	787
92	80	786
93	81	784
94	82	784
95	83	783
96	84	782
97	84	780
98	85	779
99	86	778
100	87	776
101	87	771
102	88	770
103	89	768
104	89	766
105	90	763
106	91	762
107	92	760
108	92	758
109	93	757
110	94	755
111	95	753
112	95	752
113	96	750
114	97	749
115	97	746
116	98	745
117	99	744
118	100	741
119	100	740
120	101	739
121	102	738
122	103	734
123	103	732
124	104	731
125	105	730
126	106	730
127	106	727
128	107	726
129	108	724
130	109	723
131	109	722
132	110	720
133	111	719
134	112	718
135	112	716
136	113	715
137	114	713
138	114	712
139	115	710
140	116	710
141	117	708
142	118	707
143	118	707
144	119	706
145	120	705
146	121	704
147	122	703
148	122	701
149	123	700
150	124	700
151	125	699
152	126	698
153	127	697
154	127	696
155	128	695
156	129	694
157	130	693
158	130	692
159	131	691
160	132	690
161	133	689
162	134	689
163	135	688
164	135	687
165	136	686
166	137	686
167	138	686
168	139	685
169	140	684
170	140	683
171	141	682
172	142	681
173	143	681
174	144	680
175	145	679
176	146	678
177	146	678
178	147	677
179	148	676
180	148	673
181	149	672
182	150	672
183	151	671
184	152	671
185	153	670
186	153	669
187	154	668
188	155	667
189	156	666
190	157	665
191	158	664
192	158	664
193	159	663
194	160	662
195	161	661
196	162	660
197	162	659
198	163	659
199	164	657
200	165	657
201	166	656
202	166	655
203	167	654
204	168	653
205	169	652
206	170	652
207	171	651
208	171	650
209	172	649
210	173	647
211	174	647
212	175	646
213	175	645
214	176	644
215	177	643
216	178	643
217	179	642
218	179	641
219	180	640
220	181	638
221	182	637
222	183	637
223	183	636
224	184	635
225	185	634
226	185	633
227	186	632
228	187	631
229	188	630
230	189	629
231	190	628
232	190	628
233	191	627
234	192	626
235	193	625
236	194	624
237	194	623
238	195	622
239	196	622
240	197	621
241	198	621
242	199	620
243	200	619
244	200	619
245	201	618
246	202	617
247	203	617
248	204	616
249	205	615
250	205	614
251	206	613
252	207	612
253	208	611
254	209	610
255	209	609
256	210	609
257	211	609
258	212	608
259	213	607
260	214	607
261	215	606
262	216	605
263	216	604
264	217	604
265	218	603
266	219	602
267	220	601
268	221	601
269	222	600
270	222	599
271	223	598
272	224	597
273	225	597
274	226	597
275	227	596
276	228	595
277	229	594
278	230	594
279	230	593
280	231	592
281	232	592
282	233	591
283	234	590
284	235	590
285	236	589
286	237	588
287	237	588
288	238	587
289	239	586
290	240	585
291	241	584
292	242	584
293	243	583
294	243	582
295	244	581
296	245	581
297	246	580
298	247	579
299	248	578
300	248	578
301	249	577
302	250	576
303	251	575
304	252	574
305	252	573
306	253	572
307	254	572
308	255	571
309	256	570
310	257	570
311	258	569
312	258	568
313	259	567
314	260	566
315	261	565
316	261	564
317	262	563
318	263	562
319	264	561
320	264	560
321	265	559
322	266	558
323	267	557
324	268	556
325	268	555
326	269	554
327	270	553
328	271	552
329	271	551
330	272	551
331	273	550
332	274	549
333	275	548
334	276	548
335	277	547
336	278	546
337	278	546
338	279	545
339	280	544
340	281	544
341	282	543
342	283	542
343	283	541
344	284	540
345	285	539
346	286	538
347	286	537
348	287	536
349	288	535
350	289	534
351	289	533
352	290	532
353	291	532
354	292	531
355	293	530
356	294	529
357	294	528
358	295	528
359	296	527
360	297	526
361	298	525
362	299	524
363	299	523
364	300	523
365	301	522
366	302	521
